run_name,case_label,objective_label,rank,backend,grid_step_mm,target_rebar_index,candidate_count,case_count,pass_index,step_target_index,update_case_label,step_kind,candidate_target_index,x_mm,z_mm,radius_mm,x_values_mm,z_values_mm,radii_mm,misfit,source_frequency_scale,source_time_shift_ps,source_amplitude_scale,source_ringdown_scale,source_ringdown_delay_ps,source_ringdown_frequency_scale,source_primary_coefficient,source_ringdown_coefficient
coordinate_optimizer_variable_depth_radius_seed3524578_target1_sources5_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed3524578,base,1,gpu-cpml,1.0,1,12,1,0,1,source_mismatch_ringdown050_noise10_seed3524578,main,1,250.0,100.0,6.0,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[5.0, 6.0, 8.0]",0.017012716975895435,1.1,-50.0,1.0979912242373477,0.5016415171496322,180.0,0.8,1.0979912242373477,0.5507979835434051
coordinate_optimizer_variable_depth_radius_seed3524578_target1_sources5_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed3524578,base,2,gpu-cpml,1.0,1,12,1,0,1,source_mismatch_ringdown050_noise10_seed3524578,main,1,250.0,100.0,6.25,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[5.0, 6.25, 8.0]",0.017565115424529414,1.1,-50.0,1.0944879507553917,0.5002694096754144,180.0,0.8,1.0944879507553917,0.5475388410212539
coordinate_optimizer_variable_depth_radius_seed3524578_target1_sources5_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed3524578,base,3,gpu-cpml,1.0,1,12,1,0,1,source_mismatch_ringdown050_noise10_seed3524578,main,1,250.0,101.0,6.75,"[150.0, 250.0, 350.0]","[80.0, 101.0, 120.0]","[5.0, 6.75, 8.0]",0.01777979546428274,1.1,-50.0,1.0862895784311781,0.5041369274748077,180.0,0.8,1.0862895784311781,0.5476386904181982
coordinate_optimizer_variable_depth_radius_seed3524578_target1_sources5_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed3524578,base,4,gpu-cpml,1.0,1,12,1,0,1,source_mismatch_ringdown050_noise10_seed3524578,main,1,250.0,101.0,6.5,"[150.0, 250.0, 350.0]","[80.0, 101.0, 120.0]","[5.0, 6.5, 8.0]",0.01818665909879108,1.1,-50.0,1.089283453325881,0.5057091617591696,180.0,0.8,1.089283453325881,0.5508606220995649
coordinate_optimizer_variable_depth_radius_seed3524578_target1_sources5_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed3524578,base,5,gpu-cpml,1.0,1,12,1,0,1,source_mismatch_ringdown050_noise10_seed3524578,main,1,250.0,101.0,7.0,"[150.0, 250.0, 350.0]","[80.0, 101.0, 120.0]","[5.0, 7.0, 8.0]",0.018634103653529525,1.1,-50.0,1.082451387279496,0.5027424417493482,180.0,0.8,1.082451387279496,0.5441942535158633
coordinate_optimizer_variable_depth_radius_seed3524578_target1_sources5_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed3524578,base,6,gpu-cpml,1.0,1,12,1,0,1,source_mismatch_ringdown050_noise10_seed3524578,main,1,250.0,100.0,6.5,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[5.0, 6.5, 8.0]",0.022324227129394334,1.1,-50.0,1.0842987669998816,0.4971150637510264,180.0,0.8,1.0842987669998816,0.5390212506823054
coordinate_optimizer_variable_depth_radius_seed3524578_target1_sources5_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed3524578,base,7,gpu-cpml,1.0,1,12,1,0,1,source_mismatch_ringdown050_noise10_seed3524578,main,1,250.0,101.0,6.25,"[150.0, 250.0, 350.0]","[80.0, 101.0, 120.0]","[5.0, 6.25, 8.0]",0.022570000294526566,1.1,-50.0,1.092729403057132,0.5088816707130253,180.0,0.8,1.092729403057132,0.55606996426496
coordinate_optimizer_variable_depth_radius_seed3524578_target1_sources5_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed3524578,base,8,gpu-cpml,1.0,1,12,1,0,1,source_mismatch_ringdown050_noise10_seed3524578,main,1,250.0,101.0,7.25,"[150.0, 250.0, 350.0]","[80.0, 101.0, 120.0]","[5.0, 7.25, 8.0]",0.024756504477704517,1.1,-50.0,1.07067800427897,0.49911953059799563,180.0,0.8,1.07067800427897,0.5343963029173183
coordinate_optimizer_variable_depth_radius_seed3524578_target1_sources5_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed3524578,base,9,gpu-cpml,1.0,1,12,1,0,1,source_mismatch_ringdown050_noise10_seed3524578,main,1,250.0,101.0,6.0,"[150.0, 250.0, 350.0]","[80.0, 101.0, 120.0]","[5.0, 6.0, 8.0]",0.026193786403743063,1.1,-50.0,1.093162765237997,0.5102872851379229,180.0,0.8,1.093162765237997,0.557827059687162
coordinate_optimizer_variable_depth_radius_seed3524578_target1_sources5_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed3524578,base,10,gpu-cpml,1.0,1,12,1,0,1,source_mismatch_ringdown050_noise10_seed3524578,main,1,250.0,100.0,6.75,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[5.0, 6.75, 8.0]",0.026474127157923147,1.1,-50.0,1.0780103424134164,0.4955403733244185,180.0,0.8,1.0780103424134164,0.5341976475271286
