run_name,case_label,objective_label,rank,backend,grid_step_mm,target_rebar_index,candidate_count,case_count,pass_index,step_target_index,update_case_label,step_kind,candidate_target_index,x_mm,z_mm,radius_mm,x_values_mm,z_values_mm,radii_mm,misfit,source_frequency_scale,source_time_shift_ps,source_amplitude_scale,source_ringdown_scale,source_ringdown_delay_ps,source_ringdown_frequency_scale,source_primary_coefficient,source_ringdown_coefficient
coordinate_optimizer_variable_depth_radius_seed17167680207565_target2_sources9_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed17167680207565,base,1,gpu-cpml,1.0,2,12,1,0,2,source_mismatch_ringdown050_noise10_seed17167680207565,main,2,350.0,120.0,8.0,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[5.0, 6.0, 8.0]",0.015981679130238843,1.1,-50.0,1.1005044787552192,0.4998251926965794,180.0,0.8,1.1005044787552192,0.5500598631572761
coordinate_optimizer_variable_depth_radius_seed17167680207565_target2_sources9_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed17167680207565,base,2,gpu-cpml,1.0,2,12,1,0,2,source_mismatch_ringdown050_noise10_seed17167680207565,main,2,350.0,121.0,8.75,"[150.0, 250.0, 350.0]","[80.0, 100.0, 121.0]","[5.0, 6.0, 8.75]",0.016539080402449967,1.1,-50.0,1.0883090736390106,0.5011631211205528,180.0,0.8,1.0883090736390106,0.5454203720887442
coordinate_optimizer_variable_depth_radius_seed17167680207565_target2_sources9_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed17167680207565,base,3,gpu-cpml,1.0,2,12,1,0,2,source_mismatch_ringdown050_noise10_seed17167680207565,main,2,350.0,121.0,9.0,"[150.0, 250.0, 350.0]","[80.0, 100.0, 121.0]","[5.0, 6.0, 9.0]",0.016862920578501014,1.1,-50.0,1.0868308591473343,0.5007140820950664,180.0,0.8,1.0868308591473343,0.5441915160305499
coordinate_optimizer_variable_depth_radius_seed17167680207565_target2_sources9_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed17167680207565,base,4,gpu-cpml,1.0,2,12,1,0,2,source_mismatch_ringdown050_noise10_seed17167680207565,main,2,350.0,121.0,8.5,"[150.0, 250.0, 350.0]","[80.0, 100.0, 121.0]","[5.0, 6.0, 8.5]",0.01775189382305814,1.1,-50.0,1.0897148476107539,0.5020201629214048,180.0,0.8,1.0897148476107539,0.5470588253354245
coordinate_optimizer_variable_depth_radius_seed17167680207565_target2_sources9_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed17167680207565,base,5,gpu-cpml,1.0,2,12,1,0,2,source_mismatch_ringdown050_noise10_seed17167680207565,main,2,350.0,121.0,8.25,"[150.0, 250.0, 350.0]","[80.0, 100.0, 121.0]","[5.0, 6.0, 8.25]",0.01869212642264699,1.1,-50.0,1.089639367981772,0.5023130144092445,180.0,0.8,1.089639367981772,0.5473400355499078
coordinate_optimizer_variable_depth_radius_seed17167680207565_target2_sources9_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed17167680207565,base,6,gpu-cpml,1.0,2,12,1,0,2,source_mismatch_ringdown050_noise10_seed17167680207565,main,2,350.0,120.0,8.25,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[5.0, 6.0, 8.25]",0.018694374827679786,1.1,-50.0,1.0944965356073635,0.49865894590032234,180.0,0.8,1.0944965356073635,0.5457804887375225
coordinate_optimizer_variable_depth_radius_seed17167680207565_target2_sources9_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed17167680207565,base,7,gpu-cpml,1.0,2,12,1,0,2,source_mismatch_ringdown050_noise10_seed17167680207565,main,2,350.0,120.0,8.5,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[5.0, 6.0, 8.5]",0.019982070684320296,1.1,-50.0,1.0930789917027397,0.49846444643387805,180.0,0.8,1.0930789917027397,0.5448610145076077
coordinate_optimizer_variable_depth_radius_seed17167680207565_target2_sources9_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed17167680207565,base,8,gpu-cpml,1.0,2,12,1,0,2,source_mismatch_ringdown050_noise10_seed17167680207565,main,2,350.0,121.0,9.25,"[150.0, 250.0, 350.0]","[80.0, 100.0, 121.0]","[5.0, 6.0, 9.25]",0.023567911111303547,1.1,-50.0,1.077194066092726,0.4993246055441304,180.0,0.8,1.077194066092726,0.5378695021462283
coordinate_optimizer_variable_depth_radius_seed17167680207565_target2_sources9_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed17167680207565,base,9,gpu-cpml,1.0,2,12,1,0,2,source_mismatch_ringdown050_noise10_seed17167680207565,main,2,350.0,120.0,8.75,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[5.0, 6.0, 8.75]",0.025483239127705278,1.1,-50.0,1.0871637416700008,0.4978869198704278,180.0,0.8,1.0871637416700008,0.5412846067348862
coordinate_optimizer_variable_depth_radius_seed17167680207565_target2_sources9_txrx60_ringdown050_objectives,source_mismatch_ringdown050_noise10_seed17167680207565,base,10,gpu-cpml,1.0,2,12,1,0,2,source_mismatch_ringdown050_noise10_seed17167680207565,main,2,350.0,121.0,8.0,"[150.0, 250.0, 350.0]","[80.0, 100.0, 121.0]","[5.0, 6.0, 8.0]",0.025748538428553285,1.1,-50.0,1.0890810884291067,0.5038524142219523,180.0,0.8,1.0890810884291067,0.5487361356884769
