target,tx_rx_offset_mm,run_count,accepted_fraction,median_margin,q25_margin,q75_margin,first_run,last_run
0,45.0,4,0.75,0.0005215523968793972,0.0005072798191238003,0.0005289572801258635,1011,1214
0,50.0,7,0.8571428571428571,0.0005105063623676367,0.0005036932321743539,0.0005592013475518628,740,1213
0,50.3125,1,1.0,0.0005789458183513979,0.0005789458183513979,0.0005789458183513979,777,777
0,52.5,14,0.5714285714285714,0.0005030542406431228,0.0004930822772521827,0.0005134451944430662,992,1212
0,60.0,107,0.6822429906542056,0.0005180305668645302,0.0004974793469012129,0.0005519847185262751,756,1211
0,60.5,1,0.0,0.0004962653693771218,0.0004962653693771218,0.0004962653693771218,800,800
1,45.0,1,0.0,0.00047592231551301864,0.00047592231551301864,0.00047592231551301864,988,988
1,50.0,6,0.6666666666666666,0.0005520143986101501,0.0004928199867916564,0.0006206418102436091,742,1234
1,50.3125,1,1.0,0.0005985569702072861,0.0005985569702072861,0.0005985569702072861,776,776
1,52.5,14,0.6428571428571429,0.0005061678488869799,0.0004911632225977278,0.0005258823468348621,991,1224
1,55.0,4,0.25,0.000475776352064838,0.00044489902037935566,0.00050012587100246,989,1240
1,57.5,2,0.0,0.0004875924584054822,0.00048484656528002476,0.0004903383515309397,990,1236
1,60.0,105,0.7142857142857143,0.0005254512262172495,0.000496302094739793,0.00056647173622228,754,1218
2,25.0,2,0.5,0.00043141079965573065,0.0002459833785106967,0.0006168382208007646,1219,1221
2,45.0,1,0.0,0.00037667620601858007,0.00037667620601858007,0.00037667620601858007,1015,1015
2,50.0,12,0.9166666666666666,0.001592303080582242,0.0009452032216645421,0.001883554801873846,741,1257
2,50.0390625,2,0.5,0.0005272640303986883,0.0005023869376326847,0.0005521411231646919,769,771
2,50.078125,1,0.0,0.0004774321528110831,0.0004774321528110831,0.0004774321528110831,767,767
2,50.15625,1,0.0,0.00047727344215492754,0.00047727344215492754,0.00047727344215492754,766,766
2,50.3125,7,0.7142857142857143,0.0005779376330139405,0.0005192025414698029,0.0006163856087483474,765,782
2,50.625,1,0.0,0.0004752759880729575,0.0004752759880729575,0.0004752759880729575,763,763
2,51.25,1,0.0,0.0004752759880729575,0.0004752759880729575,0.0004752759880729575,762,762
2,52.5,3,0.3333333333333333,0.00048585302638232825,0.0004791538740062367,0.0005425856561056142,761,1001
2,55.0,1,0.0,0.0004604567919615811,0.0004604567919615811,0.0004604567919615811,760,760
2,60.0,142,0.528169014084507,0.0005043905049635176,0.0004723587029202285,0.0005424757633412996,755,1215
2,65.0,1,0.0,0.00047494414009636304,0.00047494414009636304,0.00047494414009636304,1016,1016
